id,name_ja,name_en,generation,effect_en
1,あくしゅう,stench,第三世代,Has a 10% chance of making target Pokémon flinch with each hit.
2,あめふらし,drizzle,第三世代,Summons rain that lasts indefinitely upon entering battle.
3,かそく,speed-boost,第三世代,Raises Speed one stage after each turn.
4,カブトアーマー,battle-armor,第三世代,Protects against critical hits.
5,がんじょう,sturdy,第三世代,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
6,しめりけ,damp,第三世代,"Prevents Self-Destruct, Explosion, and Aftermath from working while the Pokémon is in battle."
7,じゅうなん,limber,第三世代,Prevents paralysis.
8,すながくれ,sand-veil,第三世代,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
9,せいでんき,static,第三世代,Has a 30% chance of paralyzing attacking Pokémon on contact.
10,ちくでん,volt-absorb,第三世代,"Absorbs Electric moves, healing for 1/4 max HP."
11,ちょすい,water-absorb,第三世代,"Absorbs Water moves, healing for 1/4 max HP."
12,どんかん,oblivious,第三世代,Prevents infatuation and protects against Captivate.
13,ノーてんき,cloud-nine,第三世代,"Negates all effects of weather, but does not prevent the weather itself."
14,ふくがん,compound-eyes,第三世代,Increases moves' accuracy to 1.3×.
15,ふみん,insomnia,第三世代,Prevents sleep.
16,へんしょく,color-change,第三世代,Changes type to match when hit by a damaging move.
17,めんえき,immunity,第三世代,Prevents poison.
18,もらいび,flash-fire,第三世代,"Protects against Fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
19,りんぷん,shield-dust,第三世代,Protects against incoming moves' extra effects.
20,マイペース,own-tempo,第三世代,Prevents confusion.
21,きゅうばん,suction-cups,第三世代,Prevents being forced out of battle by other Pokémon's moves.
22,いかく,intimidate,第三世代,Lowers opponents' Attack one stage upon entering battle.
23,かげふみ,shadow-tag,第三世代,Prevents opponents from fleeing or switching out.
24,さめはだ,rough-skin,第三世代,Damages attacking Pokémon for 1/8 their max HP on contact.
25,ふしぎなまもり,wonder-guard,第三世代,Protects against damaging moves that are not super effective.
26,ふゆう,levitate,第三世代,Evades Ground moves.
27,ほうし,effect-spore,第三世代,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
28,シンクロ,synchronize,第三世代,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
29,クリアボディ,clear-body,第三世代,Prevents stats from being lowered by other Pokémon.
30,しぜんかいふく,natural-cure,第三世代,Cures any major status ailment upon switching out.
31,ひらいしん,lightning-rod,第三世代,"Redirects single-target Electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
32,てんのめぐみ,serene-grace,第三世代,Doubles the chance of moves' extra effects occurring.
33,すいすい,swift-swim,第三世代,Doubles Speed during rain.
34,ようりょくそ,chlorophyll,第三世代,Doubles Speed during strong sunlight.
35,はっこう,illuminate,第三世代,Doubles the wild encounter rate.
36,トレース,trace,第三世代,Copies an opponent's ability upon entering battle.
37,ちからもち,huge-power,第三世代,Doubles Attack in battle.
38,どくのトゲ,poison-point,第三世代,Has a 30% chance of poisoning attacking Pokémon on contact.
39,せいしんりょく,inner-focus,第三世代,Prevents flinching.
40,マグマのよろい,magma-armor,第三世代,Prevents freezing.
41,みずのベール,water-veil,第三世代,Prevents burns.
42,じりょく,magnet-pull,第三世代,Prevents Steel opponents from fleeing or switching out.
43,ぼうおん,soundproof,第三世代,Protects against sound-based moves.
44,あめうけざら,rain-dish,第三世代,Heals for 1/16 max HP after each turn during rain.
45,すなおこし,sand-stream,第三世代,Summons a sandstorm that lasts indefinitely upon entering battle.
46,プレッシャー,pressure,第三世代,Increases the PP cost of moves targetting the Pokémon by one.
47,あついしぼう,thick-fat,第三世代,Halves damage from Fire and Ice moves.
48,はやおき,early-bird,第三世代,Makes sleep pass twice as quickly.
49,ほのおのからだ,flame-body,第三世代,Has a 30% chance of burning attacking Pokémon on contact.
50,にげあし,run-away,第三世代,Ensures success fleeing from wild battles.
51,するどいめ,keen-eye,第三世代,Prevents accuracy from being lowered.
52,かいりきバサミ,hyper-cutter,第三世代,Prevents Attack from being lowered by other Pokémon.
53,ものひろい,pickup,第三世代,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
54,なまけ,truant,第三世代,Skips every second turn.
55,はりきり,hustle,第三世代,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
56,メロメロボディ,cute-charm,第三世代,Has a 30% chance of infatuating attacking Pokémon on contact.
57,プラス,plus,第三世代,Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
58,マイナス,minus,第三世代,Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
59,てんきや,forecast,第三世代,Changes Castform's type and form to match the weather.
60,ねんちゃく,sticky-hold,第三世代,Prevents a held item from being removed by other Pokémon.
61,だっぴ,shed-skin,第三世代,Has a 33% chance of curing any major status ailment after each turn.
62,こんじょう,guts,第三世代,Increases Attack to 1.5× with a major status ailment.
63,ふしぎなうろこ,marvel-scale,第三世代,Increases Defense to 1.5× with a major status ailment.
64,ヘドロえき,liquid-ooze,第三世代,Damages opponents using leeching moves for as much as they would heal.
65,しんりょく,overgrow,第三世代,Strengthens Grass moves to inflict 1.5× damage at 1/3 max HP or less.
66,もうか,blaze,第三世代,Strengthens Fire moves to inflict 1.5× damage at 1/3 max HP or less.
67,げきりゅう,torrent,第三世代,Strengthens Water moves to inflict 1.5× damage at 1/3 max HP or less.
68,むしのしらせ,swarm,第三世代,Strengthens Bug moves to inflict 1.5× damage at 1/3 max HP or less.
69,いしあたま,rock-head,第三世代,Protects against recoil damage.
70,ひでり,drought,第三世代,Summons strong sunlight that lasts indefinitely upon entering battle.
71,ありじごく,arena-trap,第三世代,Prevents opponents from fleeing or switching out.  Eluded by Flying-types and Pokémon in the air.
72,やるき,vital-spirit,第三世代,Prevents sleep.
73,しろいけむり,white-smoke,第三世代,Prevents stats from being lowered by other Pokémon.
74,ヨガパワー,pure-power,第三世代,Doubles Attack in battle.
75,シェルアーマー,shell-armor,第三世代,Protects against critical hits.
76,エアロック,air-lock,第三世代,"Negates all effects of weather, but does not prevent the weather itself."
77,ちどりあし,tangled-feet,第四世代,Doubles evasion when confused.
78,でんきエンジン,motor-drive,第四世代,"Absorbs Electric moves, raising Speed one stage."
79,とうそうしん,rivalry,第四世代,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
80,ふくつのこころ,steadfast,第四世代,Raises Speed one stage upon flinching.
81,ゆきがくれ,snow-cloak,第四世代,Increases evasion to 1.25× during hail.  Protects against hail damage.
82,くいしんぼう,gluttony,第四世代,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
83,いかりのつぼ,anger-point,第四世代,Raises Attack to the maximum of six stages upon receiving a critical hit.
84,かるわざ,unburden,第四世代,Doubles Speed upon using or losing a held item.
85,たいねつ,heatproof,第四世代,Halves damage from Fire moves and burns.
86,たんじゅん,simple,第四世代,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
87,かんそうはだ,dry-skin,第四世代,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from Fire moves to 1.25×, but absorbs Water moves, healing for 1/4 max HP."
88,ダウンロード,download,第四世代,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
89,てつのこぶし,iron-fist,第四世代,Strengthens punch-based moves to 1.2× their power.
90,ポイズンヒール,poison-heal,第四世代,Heals for 1/8 max HP after each turn when poisoned in place of damage.
91,てきおうりょく,adaptability,第四世代,Increases the same-type attack bonus from 1.5× to 2×.
92,スキルリンク,skill-link,第四世代,Extends two-to-five-hit moves and Triple Kick to their full length every time.
93,うるおいボディ,hydration,第四世代,Cures any major status ailment after each turn during rain.
94,サンパワー,solar-power,第四世代,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
95,はやあし,quick-feet,第四世代,Increases Speed to 1.5× with a major status ailment.
96,ノーマルスキン,normalize,第四世代,Makes the Pokémon's moves all act Normal-type.
97,スナイパー,sniper,第四世代,Strengthens critical hits to inflict 3× damage rather than 2×.
98,マジックガード,magic-guard,第四世代,Protects against damage not directly caused by a move.
99,ノーガード,no-guard,第四世代,Ensures all moves used by and against the Pokémon hit.
100,あとだし,stall,第四世代,Makes the Pokémon move last within its move's priority bracket.
101,テクニシャン,technician,第四世代,Strengthens moves of 60 base power or less to 1.5× their power.
102,リーフガード,leaf-guard,第四世代,Protects against major status ailments during strong sunlight.
103,ぶきよう,klutz,第四世代,Prevents the Pokémon from using its held item in battle.
104,かたやぶり,mold-breaker,第四世代,Bypasses targets' abilities if they could hinder or prevent a move.
105,きょううん,super-luck,第四世代,Raises moves' critical hit rates one stage.
106,ゆうばく,aftermath,第四世代,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
107,きけんよち,anticipation,第四世代,"Notifies all trainers upon entering battle if an opponent has a super-effective move, Self-Destruct, Explosion, or a one-hit KO move."
108,よちむ,forewarn,第四世代,Reveals the opponents' strongest move upon entering battle.
109,てんねん,unaware,第四世代,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
110,いろめがね,tinted-lens,第四世代,Doubles damage inflicted with not-very-effective moves.
111,フィルター,filter,第四世代,Decreases damage taken from super-effective moves by 1/4.
112,スロースタート,slow-start,第四世代,Halves Attack and Speed for five turns upon entering battle.
113,きもったま,scrappy,第四世代,Lets the Pokémon's Normal and Fighting moves hit Ghost Pokémon.
114,よびみず,storm-drain,第四世代,"Redirects single-target Water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
115,アイスボディ,ice-body,第四世代,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
116,ハードロック,solid-rock,第四世代,Decreases damage taken from super-effective moves by 1/4.
117,ゆきふらし,snow-warning,第四世代,Summons hail that lasts indefinitely upon entering battle.
118,みつあつめ,honey-gather,第四世代,The Pokémon may pick up Honey after battle.
119,おみとおし,frisk,第四世代,Reveals an opponent's held item upon entering battle.
120,すてみ,reckless,第四世代,Strengthens recoil moves to 1.2× their power.
121,マルチタイプ,multitype,第四世代,Changes Arceus's type and form to match its held Plate.
122,フラワーギフト,flower-gift,第四世代,Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.
123,ナイトメア,bad-dreams,第四世代,Damages sleeping opponents for 1/8 their max HP after each turn.
124,わるいてぐせ,pickpocket,第五世代,Steals attacking Pokémon's held items on contact.
125,ちからずく,sheer-force,第五世代,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
126,あまのじゃく,contrary,第五世代,Inverts stat changes.
127,きんちょうかん,unnerve,第五世代,Prevents opposing Pokémon from eating held Berries.
128,まけんき,defiant,第五世代,Raises Attack two stages upon having any stat lowered.
129,よわき,defeatist,第五世代,Halves Attack and Special Attack at 50% max HP or less.
130,のろわれボディ,cursed-body,第五世代,Has a 30% chance of Disabling any move that hits the Pokémon.
131,いやしのこころ,healer,第五世代,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
132,フレンドガード,friend-guard,第五世代,Decreases all direct damage taken by friendly Pokémon to 0.75×.
133,くだけるよろい,weak-armor,第五世代,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
134,ヘヴィメタル,heavy-metal,第五世代,Doubles the Pokémon's weight.
135,ライトメタル,light-metal,第五世代,Halves the Pokémon's weight.
136,マルチスケイル,multiscale,第五世代,Halves damage taken from full HP.
137,どくぼうそう,toxic-boost,第五世代,Increases Attack to 1.5× when poisoned.
138,ねつぼうそう,flare-boost,第五世代,Increases Special Attack to 1.5× when burned.
139,しゅうかく,harvest,第五世代,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
140,テレパシー,telepathy,第五世代,Protects against friendly Pokémon's damaging moves.
141,ムラっけ,moody,第五世代,Raises a random stat two stages and lowers another one stage after each turn.
142,ぼうじん,overcoat,第五世代,Protects against damage from weather.
143,どくしゅ,poison-touch,第五世代,Has a 30% chance of poisoning target Pokémon upon contact.
144,さいせいりょく,regenerator,第五世代,Heals for 1/3 max HP upon switching out.
145,はとむね,big-pecks,第五世代,Protects against Defense drops.
146,すなかき,sand-rush,第五世代,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
147,ミラクルスキン,wonder-skin,第五世代,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
148,アナライズ,analytic,第五世代,Strengthens moves to 1.3× their power when moving last.
149,イリュージョン,illusion,第五世代,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
150,かわりもの,imposter,第五世代,Transforms upon entering battle.
151,すりぬけ,infiltrator,第五世代,"Bypasses Light Screen, Reflect, and Safeguard."
152,ミイラ,mummy,第五世代,Changes attacking Pokémon's abilities to Mummy on contact.
153,じしんかじょう,moxie,第五世代,Raises Attack one stage upon KOing a Pokémon.
154,せいぎのこころ,justified,第五世代,Raises Attack one stage upon taking damage from a Dark move.
155,びびり,rattled,第五世代,"Raises Speed one stage upon being hit by a Dark, Ghost, or Bug move."
156,マジックミラー,magic-bounce,第五世代,Reflects most non-damaging moves back at their user.
157,そうしょく,sap-sipper,第五世代,"Absorbs Grass moves, raising Attack one stage."
158,いたずらごころ,prankster,第五世代,Raises non-damaging moves' priority by one stage.
159,すなのちから,sand-force,第五世代,"Strengthens Rock, Ground, and Steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
160,てつのトゲ,iron-barbs,第五世代,Damages attacking Pokémon for 1/8 their max HP on contact.
161,ダルマモード,zen-mode,第五世代,"Changes Darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise."
162,しょうりのほし,victory-star,第五世代,Increases moves' accuracy to 1.1× for friendly Pokémon.
163,ターボブレイズ,turboblaze,第五世代,Bypasses targets' abilities if they could hinder or prevent moves.
164,テラボルテージ,teravolt,第五世代,Bypasses targets' abilities if they could hinder or prevent moves.
165,アロマベール,aroma-veil,第六世代,Protects allies against moves that affect their mental state.
166,フラワーベール,flower-veil,第六世代,Protects friendly Grass Pokémon from having their stats lowered by other Pokémon.
167,ほおぶくろ,cheek-pouch,第六世代,"Restores HP upon eating a Berry, in addition to the Berry's effect."
168,へんげんじざい,protean,第六世代,Changes the bearer's type to match each move it uses.
169,ファーコート,fur-coat,第六世代,Halves damage from physical attacks.
170,マジシャン,magician,第六世代,Steals the target's held item when the bearer uses a damaging move.
171,ぼうだん,bulletproof,第六世代,"Protects against bullet, ball, and bomb-based moves."
172,かちき,competitive,第六世代,Raises Special Attack by two stages upon having any stat lowered.
173,がんじょうあご,strong-jaw,第六世代,Strengthens biting moves to 1.5× their power.
