id,name_ja,name_en,generation,effect_en
174,フリーズスキン,refrigerate,第六世代,Turns the bearer's Normal moves into Ice moves and strengthens them to 1.3× their power.
175,スイートベール,sweet-veil,第六世代,Prevents friendly Pokémon from sleeping.
176,バトルスイッチ,stance-change,第六世代,"Changes Aegislash to Blade Forme before using a damaging move, or Shield Forme before using King’s Shield."
177,はやてのつばさ,gale-wings,第六世代,Raises Flying moves' priority by one stage.
178,メガランチャー,mega-launcher,第六世代,Strengthens aura and pulse moves to 1.5× their power.
179,くさのけがわ,grass-pelt,第六世代,Boosts Defense while Grassy Terrain is in effect.
180,きょうせい,symbiosis,第六世代,Passes the bearer's held item to an ally when the ally uses up its item.
181,かたいツメ,tough-claws,第六世代,Strengthens moves that make contact to 1.33× their power.
182,フェアリースキン,pixilate,第六世代,Turns the bearer's Normal moves into Fairy moves and strengthens them to 1.3× their power.
183,ぬめぬめ,gooey,第六世代,Lowers attacking Pokémon's Speed by one stage on contact.
184,スカイスキン,aerilate,第六世代,Turns the bearer's Normal moves into Flying moves and strengthens them to 1.3× their power.
185,おやこあい,parental-bond,第六世代,Lets the bearer hit twice with damaging moves.  The second hit has half power.
186,ダークオーラ,dark-aura,第六世代,Strengthens Dark moves to 1.33× their power for all friendly and opposing Pokémon.
187,フェアリーオーラ,fairy-aura,第六世代,Strengthens Fairy moves to 1.33× their power for all friendly and opposing Pokémon.
188,オーラブレイク,aura-break,第六世代,Makes Dark Aura and Fairy Aura weaken moves of their respective types.
189,はじまりのうみ,primordial-sea,第六世代,"Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail."
190,おわりのだいち,desolate-land,第六世代,"Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail."
191,デルタストリーム,delta-stream,第六世代,"Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon."
192,じきゅうりょく,stamina,第七世代,Raises this Pokémon's Defense by one stage when it takes damage from a move.
193,にげごし,wimp-out,第七世代,This Pokémon automatically switches out when its HP drops below half.
194,ききかいひ,emergency-exit,第七世代,This Pokémon automatically switches out when its HP drops below half.
195,みずがため,water-compaction,第七世代,Raises this Pokémon's Defense by two stages when it's hit by a Water move.
196,ひとでなし,merciless,第七世代,This Pokémon's moves critical hit against poisoned targets.
197,リミットシールド,shields-down,第七世代,Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.
198,はりこみ,stakeout,第七世代,This Pokémon's moves have double power against Pokémon that switched in this turn.
199,すいほう,water-bubble,第七世代,"Halves damage from Fire moves, doubles damage of Water moves, and prevents burns."
200,はがねつかい,steelworker,第七世代,This Pokémon's Steel moves have 1.5× power.
201,ぎゃくじょう,berserk,第七世代,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
202,ゆきかき,slush-rush,第七世代,"During Hail, this Pokémon has double Speed."
203,えんかく,long-reach,第七世代,This Pokémon's moves do not make contact.
204,うるおいボイス,liquid-voice,第七世代,Sound-based moves become Water-type.
205,ヒーリングシフト,triage,第七世代,This Pokémon's healing moves have their priority increased by 3.
206,エレキスキン,galvanize,第七世代,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
207,サーフテール,surge-surfer,第七世代,Doubles this Pokémon's Speed on Electric Terrain.
208,ぎょぐん,schooling,第七世代,Wishiwashi becomes Schooling Form when its HP is 25% or higher.
209,ばけのかわ,disguise,第七世代,Prevents the first instance of battle damage.
210,きずなへんげ,battle-bond,第七世代,Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.
211,スワームチェンジ,power-construct,第七世代,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.
212,ふしょく,corrosion,第七世代,This Pokémon can inflict poison on Poison and Steel Pokémon.
213,ぜったいねむり,comatose,第七世代,This Pokémon always  acts as though it were Asleep.
214,じょおうのいげん,queenly-majesty,第七世代,Opposing Pokémon cannot use priority attacks.
215,とびだすなかみ,innards-out,第七世代,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining."
216,おどりこ,dancer,第七世代,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
217,バッテリー,battery,第七世代,Ally Pokémon's moves have their power increased to 1.3×.
218,もふもふ,fluffy,第七世代,Damage from contact moves is halved.  Damage from Fire moves is doubled.
219,ビビッドボディ,dazzling,第七世代,Opposing Pokémon cannot use priority attacks.
220,ソウルハート,soul-heart,第七世代,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.
221,カーリーヘアー,tangling-hair,第七世代,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
222,レシーバー,receiver,第七世代,"When an ally faints, this Pokémon gains its Ability."
223,かがくのちから,power-of-alchemy,第七世代,"When an ally faints, this Pokémon gains its Ability."
224,ビーストブースト,beast-boost,第七世代,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
225,ＡＲシステム,rks-system,第七世代,Changes this Pokémon's type to match its held Memory.
226,エレキメイカー,electric-surge,第七世代,"When this Pokémon enters battle, it changes the terrain to Electric Terrain."
227,サイコメイカー,psychic-surge,第七世代,"When this Pokémon enters battle, it changes the terrain to Psychic Terrain."
228,ミストメイカー,misty-surge,第七世代,"When this Pokémon enters battle, it changes the terrain to Misty Terrain."
229,グラスメイカー,grassy-surge,第七世代,"When this Pokémon enters battle, it changes the terrain to Grassy Terrain."
230,メタルプロテクト,full-metal-body,第七世代,Other Pokémon cannot lower this Pokémon's stats.
231,ファントムガード,shadow-shield,第七世代,"When this Pokémon has full HP, regular damage from moves is halved."
232,プリズムアーマー,prism-armor,第七世代,Reduces super-effective damage to 0.75×.
233,ブレインフォース,neuroforce,第七世代,Increases super-effective damage dealt to 1.25×.
234,ふとうのけん,intrepid-sword,第八世代,Boosts Attack in battle.
235,ふくつのたて,dauntless-shield,第八世代,Boosts Defense in battle.
236,リベロ,libero,第八世代,Libero changes the Pokémon's type to that of its previously used attack.
237,たまひろい,ball-fetch,第八世代,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
238,わたげ,cotton-down,第八世代,When Ignores moves and abilities that draw in moves.
239,スクリューおびれ,propeller-tail,第八世代,Ignores moves and abilities that draw in moves.
240,ミラーアーマー,mirror-armor,第八世代,Reflects any stat-lowering effects.
241,うのミサイル,gulp-missile,第八世代,"If a Cramorant with Gulp Missile uses Surf or Dive, it catches prey and changes its form depending on its remaining HP."
242,すじがねいり,stalwart,第八世代,Ignores moves and abilities that draw in moves.
243,じょうききかん,steam-engine,第八世代,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.
244,パンクロック,punk-rock,第八世代,Boosts sound-based moves and halves damage from the same moves.
245,すなはき,sand-spit,第八世代,Creates a sandstorm when hit by an attack.
246,こおりのりんぷん,ice-scales,第八世代,Halves damage from Special moves.
247,じゅくせい,ripen,第八世代,Doubles the effect of berries.
248,アイスフェイス,ice-face,第八世代,"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows."
249,パワースポット,power-spot,第八世代,Just being next to the Pokémon powers up moves.
250,ぎたい,mimicry,第八世代,Changes type depending on the terrain.
251,バリアフリー,screen-cleaner,第八世代,"Nullifies effects of Light Screen, Reflect, and Aurora Veil."
252,はがねのせいしん,steely-spirit,第八世代,Powers up ally Pokémon's Steel-type moves.
253,ほろびのボディ,perish-body,第八世代,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,さまようたましい,wandering-spirit,第八世代,Swaps abilities with opponents on contact.
255,ごりむちゅう,gorilla-tactics,第八世代,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
256,かがくへんかガス,neutralizing-gas,第八世代,Neutralizes abilities of all Pokémon in battle.
257,パステルベール,pastel-veil,第八世代,Prevents the Pokémon and its allies from being poisoned.
258,はらぺこスイッチ,hunger-switch,第八世代,"Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode"
259,クイックドロウ,quick-draw,第八世代,Enables the Pokémon to move first occasionally.
260,ふかしのこぶし,unseen-fist,第八世代,Contact moves can strike through Protect/Detect.
261,きみょうなくすり,curious-medicine,第八世代,Resets all stat changes upon entering battlefield.
262,トランジスタ,transistor,第八世代,Powers up Electric-type moves.
263,りゅうのあぎと,dragons-maw,第八世代,Powers up Dragon-type moves.
264,しろのいななき,chilling-neigh,第八世代,Boosts Attack after knocking out a Pokémon.
265,くろのいななき,grim-neigh,第八世代,Boosts Special Attack after knocking out a Pokémon.
266,じんばいったい,as-one-glastrier,第八世代,
267,じんばいったい,as-one-spectrier,第八世代,
268,とれないにおい,lingering-aroma,第九世代,Contact changes the attacker's Ability to Lingering Aroma.
269,こぼれダネ,seed-sower,第九世代,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
270,ねつこうかん,thermal-exchange,第九世代,Raises Attack when hit by a Fire-type move. Cannot be burned.
271,いかりのこうら,anger-shell,第九世代,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
272,きよめのしお,purifying-salt,第九世代,Protects from status conditions and halves damage from Ghost-type moves.
273,こんがりボディ,well-baked-body,第九世代,"Immune to Fire-type moves, and Defense is sharply boosted."
274,かぜのり,wind-rider,第九世代,"Gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."
275,ばんけん,guard-dog,第九世代,"Boosts Attack if intimidated, and prevents being forced to switch out."
276,いわはこび,rocky-payload,第九世代,Powers up Rock-type moves.
277,ふうりょくでんき,wind-power,第九世代,"When hit by a wind move, the power of the next Electric-type move it uses is doubled."
278,マイティチェンジ,zero-to-hero,第九世代,Transforms into its Hero Form when switching out.
279,しれいとう,commander,第九世代,Goes inside the mouth of an ally Dondozo if one is on the field.
280,でんきにかえる,electromorphosis,第九世代,"When hit by an attack, the power of the next Electric-type move it uses is doubled."
281,こだいかっせい,protosynthesis,第九世代,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
282,クォークチャージ,quark-drive,第九世代,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
283,おうごんのからだ,good-as-gold,第九世代,Gives immunity to status moves.
284,わざわいのうつわ,vessel-of-ruin,第九世代,Lowers Special Attack of all Pokémon except itself.
285,わざわいのつるぎ,sword-of-ruin,第九世代,Lowers Defense of all Pokémon except itself.
286,わざわいのおふだ,tablets-of-ruin,第九世代,Lowers Attack of all Pokémon except itself.
287,わざわいのたま,beads-of-ruin,第九世代,Lowers Special Defense of all Pokémon except itself.
288,ひひいろのこどう,orichalcum-pulse,第九世代,"Turns the sunlight harsh when entering battle, and boosts Attack while active."
289,ハドロンエンジン,hadron-engine,第九世代,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active."
290,びんじょう,opportunist,第九世代,Copies stat boosts by the opponent.
291,はんすう,cud-chew,第九世代,Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
292,きれあじ,sharpness,第九世代,Powers up slicing moves.
293,そうだいしょう,supreme-overlord,第九世代,Attack and Special Attack are boosted for each party Pokémon that has been defeated.
294,きょうえん,costar,第九世代,Copies ally's stat changes on entering battle.
295,どくげしょう,toxic-debris,第九世代,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
296,テイルアーマー,armor-tail,第九世代,"Prevents the opponent from using any moves that have priority, such as Quick Attack."
297,どしょく,earth-eater,第九世代,Restores HP when hit by a Ground-type move.
298,きんしのちから,mycelium-might,第九世代,"Status moves go last, but are not affected by the opponent's ability."
299,しんがん,minds-eye,第九世代,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves."
300,かんろなミツ,supersweet-syrup,第九世代,"Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. "
301,おもてなし,hospitality,第九世代,"When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%."
302,どくのくさり,toxic-chain,第九世代,May cause bad poisoning when the Pokémon hits an opponent with a move.
303,おもかげやどし,embody-aspect,第九世代,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon"
304,テラスチェンジ,tera-shift,第九世代,"When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. "
305,テラスシェル,tera-shell,第九世代,All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
306,ゼロフォーミング,teraform-zero,第九世代,"As soon as Terapagos assumes its Stellar Form, it will immediately neutralize weather and terrain effects. "
307,どくくぐつ,poison-puppeteer,第九世代,Pokémon poisoned by Pecharunt's moves will also become confused.
308,かんつうドリル,piercing-drill,第九世代,"When the Pokémon uses contact moves, it can hit even targets that are protecting themselves."
309,ドラゴンスキン,dragonize,第九世代,The Pokémon's Normal-type moves become Dragon-type moves and their power is boosted by 20%.
310,メガソーラー,mega-sol,第九世代,The Pokémon can use its moves as if the weather were harsh sunlight.
311,とびだすハバネロ,spicy-spray,第九世代,"When the Pokémon takes damage from a move, it burns the attacker."
10001,,mountaineer,第五世代,
10002,,wave-rider,第五世代,
10003,,skater,第五世代,
10004,,thrust,第五世代,
10005,,perception,第五世代,
10006,,parry,第五世代,
10007,,instinct,第五世代,
10008,,dodge,第五世代,
10009,,jagged-edge,第五世代,
10010,,frostbite,第五世代,
10011,,tenacity,第五世代,
10012,,pride,第五世代,
10013,,deep-sleep,第五世代,
10014,,power-nap,第五世代,
10015,,spirit,第五世代,
10016,,warm-blanket,第五世代,
10017,,gulp,第五世代,
10018,,herbivore,第五世代,
10019,,sandpit,第五世代,
10020,,hot-blooded,第五世代,
10021,,medic,第五世代,
10022,,life-force,第五世代,
10023,,lunchbox,第五世代,
10024,,nurse,第五世代,
10025,,melee,第五世代,
10026,,sponge,第五世代,
10027,,bodyguard,第五世代,
10028,,hero,第五世代,
10029,,last-bastion,第五世代,
10030,,stealth,第五世代,
10031,,vanguard,第五世代,
10032,,nomad,第五世代,
10033,,sequence,第五世代,
10034,,grass-cloak,第五世代,
10035,,celebrate,第五世代,
10036,,lullaby,第五世代,
10037,,calming,第五世代,
10038,,daze,第五世代,
10039,,frighten,第五世代,
10040,,interference,第五世代,
10041,,mood-maker,第五世代,
10042,,confidence,第五世代,
10043,,fortune,第五世代,
10044,,bonanza,第五世代,
10045,,explode,第五世代,
10046,,omnipotent,第五世代,
10047,,share,第五世代,
10048,,black-hole,第五世代,
10049,,shadow-dash,第五世代,
10050,,sprint,第五世代,
10051,,disgust,第五世代,
10052,,high-rise,第五世代,
10053,,climber,第五世代,
10054,,flame-boost,第五世代,
10055,,aqua-boost,第五世代,
10056,,run-up,第五世代,
10057,,conqueror,第五世代,
10058,,shackle,第五世代,
10059,,decoy,第五世代,
10060,,shield,第五世代,
